city_id,Hotel_name,Mobile,landline,Email,Contact Person ,Emergency Contact  No,Hotel address,Statecountry_id,Website,Bank Name,Account Type,Account No,Branch,IFSCswift Code,TaxNo,Personal Identification NoPIN,Hotel Category,Child Without Bed From Age,Child Without Bed To Age,Child With Bed From Age,Child With Bed To  Age,Hotel Type,Hotel Description,Opening Balance,Balance Side
1961,Ms Barefoot Resorts & Leisure Pvt Ltd,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744103,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Taj Exotica Resort & SPA,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744104,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Hotel TSG Blue,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744105,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Holiday Inn Beach Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744106,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Barefoot Bayside Brasserie,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744107,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms N K Havelock Eco Resorts,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744108,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,C KalaiarasiMs Sandyy Wavess Beach Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744109,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,EL Dorado Beach Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744110,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Hotel Symphony Palms,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744111,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Hotel Sea Shell,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744112,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Shri Surya Rao Ms Bowfin Resort Havelock Pvt Ltd,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744113,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Havelock Island Beach Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744114,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Cafe Del Mar,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744115,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Something Different,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744116,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Aparupa Sands Marina,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744117,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Anju CoCo Resto,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744118,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Fat Martin Emrald Gecko Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744119,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,The Wild Orchid A Unit of Island Travels Pvt Ltd,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744120,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Roy Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744121,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ocean Tree Beach Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744122,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Havelock Country Homes,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744123,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Haywizz Havelock Island Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744124,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Dolphin Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744125,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Shri Davinder Pal Singh Ms Silver Sand,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744126,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Emerald Gecko Andaman Resort Pvt Ltd,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744127,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Joye Grand Hotel Pvt Ltd,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744128,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Hunger Point Resto,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744129,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Sun Rise Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744130,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Emerald Gecko Andaman Resort Pvt Ltd,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744131,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Munjo Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744132,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Radha Krishna Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744133,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Big Bite Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744134,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,U & I Resort Pvt Ltd,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744135,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Havelock Island Beach Resort Pvt Ltd,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744136,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Hotel The Kingdom,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744137,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Virgin Beach Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744138,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Cross Bill Beach Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744139,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Dreamland Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744140,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Full Moon Caf LLP,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744141,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Green Chilly Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744142,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Jafar Mambada Kerala Caf,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744143,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,White Coral Beach Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744144,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Coral Reef Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744145,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Ms Silver Sand Village Resort,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744146,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Hotel Royal Palace,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744147,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Shri Mani Ram Ms Blue Sea Bar and Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744148,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Mrinal Dutta & Tarun Kumar Dutta Ms The Green Leaves Pure Veg Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744149,3,,,,,,,,,3 star,2,4,5,11,,,,
1961,Shri Prasenjit Mandal Ms Famous Sea Food Restaurant,9096685012,,pramod@itwebservicesco,pramod Kotkar,,Havelock Andaman and Nicobar Islands 744150,3,,,,,,,,,3 star,2,4,5,11,,,,
